Título;ISSN impresa;ISSN en linea;Área;Instituto
Revista argentina de salud pública;1852-8724;1853-810X;Ciencias biológicas y de la salud;null
Revista Asia América Latina;null;2524-9347;Ciencias sociales y humanidades;Grupo de Estudios sobre Asia y América Latina, Instituto de América Latina y el Caribe
Revista Bíblica (En línea);null;2683-7153;Ciencias sociales y humanidades;Asociación Bíblica Argentina
Revista chuy;null;2422-5932;Ciencias sociales y humanidades;Universidad Nacional de Tres de Febrero
Revista contenciosa;null;2347-0011;Ciencias sociales y humanidades;Facultad de Humanidades y Ciencias Universidad Nacional del Litoral
Revista de arqueología histórica argentina y latinoamericana (En línea);null;2344-9918;Ciencias sociales y humanidades;Asociación de Arqueólogos Profesionales de la República Argentina
Revista de ciencia y tecnología (Posadas);0329-8922;1851-7587;Ciencias exactas y naturales ;null
Revista de economía política de Buenos Aires;1850-6933;1853-1350;Ciencias sociales y humanidades;null
Revista de educación;1853-1318;1853-1326;Ciencias sociales y humanidades;null
Revista de educación en biología (En línea);null;2344-9225;Ciencias sociales y humanidades;Asociación de Docentes en Ciencias Biológicas de la Argentina
Revista de enseñanza de la física (En línea);null;2250-6101;Ciencias sociales y humanidades;Facultad de Matemática, Astronomía, Física y Computación, Universidad Nacional de Córdoba
Revista de estudios clásicos;0325-3465;2469-0643;Ciencias sociales y humanidades;null
Revista de estudios marítimos y sociales (En línea);null;2545-6237;Ciencias sociales y humanidades;Universidad Nacional de Mar del Plata
Revista de extensión universitaria +E (En línea);null;2346-9986;Ciencias sociales y humanidades;null
Revista de filosofía y teoría política;0328-6223;2314-2553;Ciencias sociales y humanidades;null
Revista de geografía (San Juan);1514-1942;2618-2084;Ciencias sociales y humanidades;null
Revista de geología aplicada a la ingeniería y el ambiente (En línea);null;2422-5703;Ciencias exactas y naturales ;Asociación Argentina de Geología Aplicada a la Ingeniería
Revista de historia americana y argentina;0556-5960;2314-1549;Ciencias sociales y humanidades;null
Revista de historia de las prisiones;null;2451-6473;Ciencias sociales y humanidades;null
Revista de historia del derecho;0325-1918;1853-1784;Ciencias sociales y humanidades;null
Revista de la Asociación Argentina de Ortopedia y Traumatología;1515-1786;1852-7434;Ciencias biológicas y de la salud;null
Revista de la Asociación Geológica Argentina;0004-4822;1851-8249;Ciencias exactas y naturales;null
Revista de la Asociación Odontológica Argentina;0004-4881;2683-7226;Ciencias biológicas y de la salud;null
Revista de la Escuela de Antropología (En línea);null;2618-2998;Ciencias sociales y humanidades;Universidad Nacional de Rosario
