Título;ISSN impresa;ISSN en linea;Instituto;URL
REVISTA ARGENTINA DE CIENCIAS DEL COMPORTAMIENTO;1852-4206;;UNIV NACL CORDOBA, FAC PSICOLOGIA , ENFERMERA GORDILLO S-N, CIUDAD UNIV, CORDOBA, ARGENTINA, 5000;
REVISTA ARGENTINA DE HISTORIOGRAFIA LINGUISTICA;1852-1495;;REVISTA ARGENTINA HISTORIOGRAFIA LINGUISTICA-RAHL , CIUDAD DE LA PAZ 562 PB D, BUENOS AIRES, ARGENTINA, 1426;
REVISTA ARGENTINA DE MICROBIOLOGIA;0325-7541;1851-7617;ASOCIACION ARGENTINA MICROBIOLOGIA , BULNES 44 PB B, BUENOS AIRES, ARGENTINA, 00000;
REVISTA BIBLICA;0034-7078;2683-7153;ASOCIACION BIBLICA ARGENTINA;
REVISTA DE ARQUEOLOGIA HISTORICA ARGENTINA Y LATINOAMERICANA;1851-3190;2344-9918;ASSOC PROFESSIONAL ARCHAEOLOGISTS ARGENTINE REPUBLIC , Florida 835, 2nd floor, of. 202 E. (C1005AAP), Buenos Aires, Argentina, 0000;
REVISTA DE FILOSOFIA LA PLATA;2953-3392;;UNIV NAC LA PLATA, FAC HUMANIDADES & CIENCIAS EDUC , CALLE 48 E-6 & 7,PISO 5, OF 517, LA PLATA, ARGENTINA, BUENOS AIRES, 1900;
REVISTA DE INVESTIGACIONES AGROPECUARIAS;0325-8718;1669-2314;INST NACIONAL TECNOLOGIA AGROPECUARIA , RIVADAVIA 1439, BUENOS AIRES, ARGENTINA, 1033;
REVISTA DE LA ASOCIACION GEOLOGICA ARGENTINA;0004-4822;1851-8249;ASOC GEOL ARGENTINA , MAIPU 645, PISO 1, BUENOS AIRES, ARGENTINA, 1006;
REVISTA DE LA FACULTAD DE AGRONOMIA UNIVERSIDAD NACIONAL DE LA PLATA;0041-8676;1669-9513;UNIV NACIONAL LA PLATA, FAC AGRONOMIA , CASILLA DE COREO 31, LA PLATA, ARGENTINA, 1900;
REVISTA DE LA FACULTAD DE CIENCIAS AGRARIAS;0370-4661;1853-8665;UNIV NACIONAL CUYO, FAC CIENCIAS AGRARIAS , ALMIRANTE BROWN 500, CHACRAS DE CORIA, ARGENTINA, MENDOZA, M5528AHB;
REVISTA DE LA FEDERACION ARGENTINA DE CARDIOLOGIA;0326-646X;1666-5694;FEDERACION ARGENTINA CARDIOLOGIA , BULNES 1004, BUENOS AIRES, ARGENTINA, C1176ABT;
REVISTA DE LA SOCIEDAD ENTOMOLOGICA ARGENTINA;0373-5680;1851-7471;SOC ENTOMOLOGICA ARGENTINA , MUSEO DE LA PLATA, PASEO DEL BOSQUE, LA PLATA, ARGENTINA, 00000;
REVISTA DE LA UNION MATEMATICA ARGENTINA;0041-6932;1669-9637;UNION MATEMATICA ARGENTINA , UNIV BUENOS AIRES, DEPT MATEMATICA, INTENDENTE GUIRALDES 2160, CIUDAD UNIV, LA PLATA, ARGENTINA, 1900;
REVISTA DEL MUSEO ARGENTINO DE CIENCIAS NATURALES;1514-5158;1853-0400;MUSEO ARGENTINO CIENCIAS NATURALES BERNARDINO RIVADAVIA, INST , AV ANGEL GALLARDO 470, BUENOS AIRES, ARGENTINA, 00000;
REVISTA DEL MUSEO DE LA PLATA;2545-6369;2545-6377;UNIV NACIONAL LA PLATA, FAC CIENCIAS NATURALES MUSEO , PASEO DEL BOSQUE, AVENIDAS 60 Y 122, LA PLATA, ARGENTINA, BUENOS AIRES, 00000;
REVISTA DE NEFROLOGIA DIALISIS Y TRASPLANTE;0326-3428;2346-8548;ASOC REGIONAL DIALISIS TRASPLANTES RENALES , GASCON 88, BUENOS AIRES, ARGENTINA, C1181ABB;
REVISTA DE SALUD PUBLICA-CORDOBA;1853-1180;1852-9429;UNIV NAC CORDOBA, ESCUELA SALUD PUBLICA , ENRIQUE BARROSESQQ ENFERMERA GORDILLO GOMEZ, CIUDAD UNIV, CORDOBA, ARGENTINA, 5000;
REVISTA DE TRANSPORTE Y TERRITORIO;1852-7175;;UNIV BUENOS AIRES, INST GEOGRAFIA , PUAN 480 PISO 4, BUENOS AIRES, ARGENTINA, 1406;
REVISTA ELECTRONICA DE FUENTES Y ARCHIVOS;1853-4503;;CENTRO DE ESTUDIOS HISTORICOS PROF CARLOS S A SEGRETI , CANONIGO M CORRO 308, CORDOBA, ARGENTINA, 00000;
